date,X0000,X0100,X0200,X0300,X0400,X0500,X0600,X0700,X0800,X0900,X1000,X1100,X1200,X1300,X1400,X1500,X1600,X1700,X1800,X1900,X2000,X2100,X2200,X2300
6/18/1997,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
6/19/1997,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,4,0,0
6/20/1997,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
6/21/1997,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,2,0
6/22/1997,,,,,,,,,,,,,,,,,,,,,,,,
6/23/1997,6,2,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,2
6/24/1997,0,6,0,0,2,2,,,,,,,0,0,0,-6,-2,0,0,0,0,0,0,0
6/25/1997,4,-4,-6,-10,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,8
6/26/1997,2,8,2,0,2,2,,,,,,,0,-2,0,0,0,0,6,0,0,0,0,0
6/27/1997,-2,-2,4,-2,0,0,,,,,,,0,0,0,0,0,0,0,0,0,-2,16,42
6/28/1997,4,14,6,2,2,0,,,,,,,4,-2,4,0,0,0,72,18,34,22,16,34
6/29/1997,,,,,,,,,,,,,,,,,,,,,,,,
6/30/1997,0,0,0,0,2,-2,-2,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,8,0
7/1/1997,32,86,98,38,34,2,,,,,,,40,62,4,4,50,20,10,10,98,148,400,770
7/2/1997,184,90,48,58,52,12,,,,,,,2,0,0,34,6,2,4,168,70,16,22,106
7/3/1997,138,548,48,8,4,6,,,,,,,86,54,4040,104,8,-28,6,-58,44,500,-82,-40
7/4/1997,0,-6,,,,,,,,,,,0,4,4,0,6,30,26,0,2,1510,3230,422
7/5/1997,376,490,430,96,28,18,,,,,,,0,0,0,12,8,28,2190,1160,3906,1306,2190,1908
7/6/1997,,,,,,,,,,,,,,,,,,,,,,,,
7/7/1997,1676,744,750,398,178,292,508,730,94,42,24,32,28,208,1032,8220,2352,13832,14136,4786,760,13638,6946,10862
7/8/1997,568,354,454,176,48,164,,,,,,,86,3636,3072,8088,1994,11400,64,292,4718,528,254,-76
7/9/1997,-338,-80,-246,-646,-278,-362,,,,,,,10,-2,14,42,246,212,222,886,4350,11682,14138,15788
7/10/1997,3380,5380,308,336,106,156,,,,,,,58,8,16,26,94,512,392,898,264,9978,6940,5084
7/11/1997,4920,11300,2430,3192,462,-584,,,,,,,0,0,16,36,58,410,356,532,678,698,990,1334
7/12/1997,10080,8780,3280,192,336,302,,,,,,,182,68,12,28,110,668,8926,4570,1740,2740,3800,5660
7/13/1997,,,,,,,,,,,,,,,,,,,,,,,,
7/14/1997,-824,-1020,-908,-1530,-210,-202,-414,-328,-176,-44,-8,8,4,0,30,54,44,106,14,328,1070,438,572,6960
7/15/1997,7040,2448,246,-22,-2,-4,,,,,,,156,230,1336,254,246,84,24,332,302,7720,738,148
7/16/1997,190,156,42,4,2,54,,,,,,,46,18,116,440,702,2150,3760,11720,18340,6820,2980,4592
7/17/1997,2836,10560,610,16,24,162,,,,,,,962,780,932,730,636,1486,2118,872,2304,1578,7092,14480
7/18/1997,5680,4140,26,8,4,96,,,,,,,52,56,74,100,114,172,338,514,556,336,564,5040
7/19/1997,14080,614,64,14,20,196,,,,,,,6,32,4,256,718,552,326,2396,1906,2768,2726,128
7/20/1997,,,,,,,,,,,,,,,,,,,,,,,,
7/21/1997,580,740,462,42,72,2130,3690,2052,-202,734,64,22,30,138,300,1102,5260,6960,9614,768,760,1386,848,1640
7/22/1997,1340,1380,100,44,136,1678,,,,,,,708,642,6528,4826,6560,2290,380,200,168,1066,82,86
7/23/1997,110,156,30,24,6,52,,,,,,,-48,140,552,210,84,136,236,130,442,254,50,64
7/24/1997,-24,66,-4,2,8,42,,,,,,,-56,-144,-190,-26,218,60,54,1036,550,210,150,60
7/25/1997,248,0,-2,14,16,10,,,,,,,4,10,-44,-8,-20,38,160,172,110,172,188,180
7/26/1997,82,78,14,4,12,48,,,,,,,-2,-18,-20,-2,50,108,220,62,122,584,232,320
7/27/1997,104,124,26,6,22,182,414,370,268,164,34,52,8,14,14,42,56,50,170,38,1682,554,642,796
