date,X0000,X0100,X0200,X0300,X0400,X0500,X0600,X0700,X0800,X0900,X1000,X1100,X1200,X1300,X1400,X1500,X1600,X1700,X1800,X1900,X2000,X2100,X2200,X2300
6/29/1992,162,134,30,2,10,3,0,1,1,0,0,1,1,2,0,0,8,2,3,1,0,29,567,1580
6/30/1992,916,500,12,6,0,0,,,,,,,0,0,0,0,0,0,2,2,56,14,524,4
7/1/1992,6,0,788,86,4,14,,,,,,,0,0,0,0,2,2,0,32,50,20,154,108
7/2/1992,160,102,402,34,6,10,,,,,,,2,6,2,-22,44,540,450,1548,478,122,26,64
7/3/1992,74,220,98,16,38,22,,,,,,,0,0,0,6,44,18,18,32,158,1114,158,2376
7/4/1992,2804,3062,928,56,54,272,,,,,,,2,4,4,6,112,4126,2246,30,6134,7358,1952,4152
7/5/1992,,,,,,,,,,,,,,,,,,,,,,,,
7/6/1992,1108,537,142,114,699,666,1296,1052,368,272,633,316,481,1484,118,35,672,764,147,1260,4658,6467,5210,1953
7/7/1992,172,22,122,52,12,674,,,,,,,82,8,38,72,30,48,254,588,508,2168,5770,5524
7/8/1992,3808,1144,820,226,184,2348,,,,,,,104,74,1610,684,496,400,274,432,198,1524,1546,3136
7/9/1992,4610,2244,1708,2034,766,5108,,,,,,,2904,2354,2746,6926,1110,448,400,13224,12894,8236,16722,5346
7/10/1992,6224,6306,4370,1210,2778,9616,,,,,,,184,352,9818,3378,1118,1868,4802,5484,10526,2510,570,14590
7/11/1992,16310,292,40,4,28,560,,,,,,,-94,184,4352,4532,3660,1586,6350,4140,980,482,2948,5926
7/12/1992,,,,,,,,,,,,,,,,,,,,,,,,
7/13/1992,9320,3678,262,33,142,2116,2910,4733,1049,465,66,-64,-38,2395,404,1000,399,9260,18798,10099,2751,1814,475,-120
7/14/1992,-172,-602,-604,-362,-360,-788,,,,,,,-40,-12,40,108,10,712,912,256,788,2984,9276,3018
7/15/1992,1614,22,-108,6,-102,494,,,,,,,-70,2,-46,-76,-32,372,1604,7276,6410,2966,1390,5856
7/16/1992,1152,2226,2034,-40,-126,1938,,,,,,,-6,22,54,130,264,616,1772,2598,7254,9144,9736,5412
7/17/1992,934,154,44,36,26,678,,,,,,,8,56,64,308,452,3704,5648,4094,8492,12294,6934,6838
7/18/1992,7420,5324,76,2,-4,2856,,,,,,,-8,106,46,2744,2728,1102,3586,8264,10980,3286,2440,5680
7/19/1992,,,,,,,,,,,,,,,,,,,,,,,,
7/20/1992,1709,507,0,-37,19,370,560,9590,310,284,110,100,25,8,31,49,176,144,219,309,527,992,1163,1177
7/21/1992,648,346,62,76,108,678,,,,,,,220,346,296,940,782,820,2726,6424,5006,2770,4494,4724
7/22/1992,9702,1914,238,54,38,632,,,,,,,160,1144,1828,2270,1962,7450,1872,560,1528,1592,6684,8820
7/23/1992,2000,568,122,56,84,282,,,,,,,152,170,130,532,308,276,706,3392,2338,2276,1344,5460
7/24/1992,4972,2826,348,92,56,1570,,,,,,,4708,4614,330,200,168,1230,3270,3138,1912,218,428,310
7/25/1992,366,202,42,16,64,188,,,,,,,150,2994,8328,4862,2600,4324,3106,2462,1214,1506,892,286
7/26/1992,,,,,,,,,,,,,,,,,,,,,,,,
7/27/1992,643,342,115,48,41,1079,5065,2762,223,24,3,17,71,142,155,202,476,2329,1929,987,452,288,218,433
7/28/1992,320,44,2,44,92,92,,,,,,,44,70,36,142,212,208,2568,5852,458,346,640,512
,,,,,,,,,,,,,,,,,,,,,,,,
