date,X0000,X0100,X0200,X0300,X0400,X0500,X0600,X0700,X0800,X0900,X1000,X1100,X1200,X1300,X1400,X1500,X1600,X1700,X1800,X1900,X2000,X2100,X2200,X2300
,,,,,,,,,,,,,,,,,,,,,,,,
6/27/2001,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
6/28/2001,0,0,0,0,0,12,3,-3,-9,0,0,0,0,0,0,0,0,9,222,63,12,0,12,27
6/29/2001,42,48,372,177,165,93,-12,3,0,0,3,0,0,0,0,0,0,0,3,108,483,0,588,285
6/30/2001,33,69,15,6,0,18,3,-30,3,9,-6,0,-27,0,0,-12,-6,0,0,0,0,0,0,21
7/1/2001,9,18,0,0,24,54,-30,0,0,0,0,0,-6,0,0,0,0,24,63,15,0,15,3,0
7/2/2001,24,33,54,174,156,48,-6,9,0,0,0,-6,0,0,0,0,6,3,300,204,0,66,144,423
7/3/2001,9,159,321,81,111,69,72,114,-3,3,-6,99,0,0,63,105,141,426,99,246,150,309,372,300
7/4/2001,,,,,,,,,,,,,,,,,,,,,,,,
7/5/2001,-12,0,-12,-33,-12,-3,0,0,-3,-3,0,0,0,0,-3,0,-6,0,0,9,90,9,9,-21
7/6/2001,0,0,0,0,0,3,6,-6,0,-3,0,0,0,0,-3,0,0,0,-6,75,42,9,18,180
7/7/2001,99,207,48,18,60,21,0,0,3,0,3,0,0,0,0,0,0,3,0,0,3,12,0,117
7/8/2001,24,24,27,243,66,27,0,-18,0,0,-6,0,0,0,0,0,0,90,6,6,12,57,135,60
7/9/2001,162,111,0,186,51,108,12,15,0,0,0,-3,0,0,0,0,0,0,0,0,9,3,24,63
7/10/2001,18,84,126,108,6,6,6,0,0,0,0,0,-3,0,-6,0,-12,0,60,39,12,0,0,-6
7/11/2001,27,36,0,0,12,0,0,0,-9,-6,0,0,0,0,-6,0,-3,0,3,0,0,3,9,72
7/12/2001,3,90,45,,,,3,9,0,0,0,3,-3,0,0,-3,3,3,0,9,0,0,-3,0
7/13/2001,6,0,6,3,12,-3,18,0,0,0,0,-9,0,0,0,3,0,0,36,12,0,27,12,123
7/14/2001,90,0,291,189,78,30,48,12,-6,0,0,0,0,3,0,0,0,0,0,0,57,12,18,75
7/15/2001,273,210,207,108,174,45,48,18,3,0,0,0,0,3,0,0,3,0,0,0,3,0,0,0
