date,X0000,X0100,X0200,X0300,X0400,X0500,X0600,X0700,X0800,X0900,X1000,X1100,X1200,X1300,X1400,X1500,X1600,X1700,X1800,X1900,X2000,X2100,X2200,X2300
6/23/1994,,,,,,,,,,,,,4,0,0,0,0,0,0,0,4,4,6,6
6/24/1994,2,2,12,0,6,0,,,,,,,0,0,0,0,0,2,2,0,4,2,6,0
6/25/1994,2,4,12,6,8,12,,,,,,,0,0,0,0,0,0,2,0,0,0,0,14
6/26/1994,14,40,16,12,2,8,,,,,,,0,0,0,2,2,0,4,4,0,8,-4,2
6/27/1994,,2,-16,-6,-2,0,-4,0,0,-2,2,0,0,0,0,0,0,0,0,0,0,0,2,0
6/28/1994,2,50,38,24,-6,2,,,,,,,2,0,0,4,0,0,0,0,0,2,14,54
6/29/1994,162,96,26,16,4,2,,,,,,,0,0,0,0,-4,0,0,0,2,6,0,10
6/30/1994,28,16,8,26,-2,-18,,,,,,,0,0,0,0,-2,0,6,2,2,32,30,28
7/1/1994,134,256,208,196,156,58,,,,,,,0,0,10,8,4,100,204,1066,688,496,134,140
7/2/1994,1070,180,480,370,4,20,,,,,,,2,2,22,28,52,16,14,36,54,48,60,354
7/3/1994,,,,,,,,,,,,,,,,,,,,,,,,
7/4/1994,1740,394,690,50,2,0,48,14,34,6,20,10,28,46,112,208,164,120,44,718,3710,3732,4106,4648
7/5/1994,656,636,1448,306,112,84,,,,,,,-204,-140,-88,16,920,282,186,38,304,634,400,114
7/6/1994,-290,700,1532,308,214,214,,,,,,,14,16,26,40,64,150,252,814,2086,3492,6122,4652
7/7/1994,3914,1328,434,-38,-64,-194,,,,,,,-294,-258,-280,-256,-54,1246,1150,3778,3228,1680,2116,1112
7/8/1994,2422,2714,52,98,78,74,,,,,,,64,-12,-84,-14,72,146,208,276,396,834,2634,4286
7/9/1994,4002,1798,982,-4,-104,94,,,,,,,5858,3100,944,636,894,1380,1512,1486,1768,5662,7620,6340
7/10/1994,,,,,,,,,,,,,,,,,,,,,,,,
7/11/1994,7356,7462,2046,324,580,762,324,18,64,64,28,4,24,494,212,488,106,68,,,,,,
7/12/1994,,,,,,,,,,,,,1532,2324,2396,7750,11360,6992,4846,19760,27960,14800,8960,9978
7/13/1994,17300,9596,8066,4046,2498,2536,,,,,,,80,212,130,512,9828,16236,20720,13110,11920,12380,17180,29600
7/14/1994,30000,16732,7340,6472,2760,7570,,,,,,,3530,3930,1652,2550,1672,3366,2628,1660,29480,18860,28840,26440
7/15/1994,30540,28020,22020,8300,3942,10580,,,,,,,7110,6270,6568,8040,13120,10460,12880,12820,9500,20940,21180,35120
7/16/1994,55340,51920,11632,1222,1168,11784,,,,,,,2010,4340,15360,11000,8400,16680,15520,12550,11800,11660,33380,31084
7/17/1994,,,,,,,,,,,,,,,,,,,,,,,,
7/18/1994,14200,1160,9430,1222,1214,2384,14114,12600,370,42,30,30,508,5892,31720,29080,6106,3882,1656,4148,6826,6898,12920,9560
7/19/1994,7392,7032,12730,1046,430,1998,,,,,,,5198,20186,17618,15396,3776,690,276,314,430,490,886,2094
7/20/1994,-510,-518,-484,-58,-48,76,,,,,,,-346,-132,316,1470,4446,1264,352,788,2982,440,2776,616
7/21/1994,116,114,34,-4,26,152,,,,,,,44,48,166,4976,3850,1792,962,718,474,292,198,426
7/22/1994,416,342,46,34,56,776,,,,,,,5144,8702,1602,1432,13280,3550,4708,2106,526,380,102,-2
7/23/1994,-324,-436,-200,-98,-18,18,,,,,,,-786,-586,1288,544,1308,2082,2330,4042,30,1114,2386,640
7/24/1994,,,,,,,,,,,,,,,,,,,,,,,,
7/25/1994,106,642,72,84,90,238,842,448,248,102,60,50,68,28,200,472,914,684,506,220,356,320,964,926
7/26/1994,448,304,86,30,26,210,,,,,,,70,48,76,662,176,1674,786,1434,1858,1520,1084,1304
7/27/1994,610,470,206,94,138,292,,,,,,,2264,2234,5736,3504,4158,2600,1934,5966,4080,836,770,480
7/28/1994,,,,,,,,,,,,,,,,,,,,,,,,
7/29/1994,386,150,30,30,12,96,,,,,,,348,434,932,814,696,768,896,1996,660,340,266,214
7/30/1994,,,,,,,,,,,,,,,,,,,,,,,,
7/31/1994,442,300,104,72,44,136,,,,,,,38,32,56,314,278,380,186,284,428,242,1180,326
8/1/1994,198,6,30,14,-2,-6,52,-8,0,-10,-36,,,12,22,18,32,28,12,52,52,6,6,16
8/2/1994,,,,,,,,,,,,,,,,,,,,,,,,
8/3/1994,44,18,-10,2,-8,-14,,,,,,,34,48,22,20,60,30,62,52,58,94,74,62
8/4/1994,72,30,22,2,28,44,,,,,,,14,64,48,78,116,80,70,118,124,108,92,90
8/5/1994,,,,,,,,,,,,,,,,,,,,,,,,
8/6/1994,174,26,24,24,46,68,,,,,,,142,142,138,184,80,102,120,128,134,110,76,50
8/7/1994,,,,,,,,,,,,,,,,,,,,,,,,
8/8/1994,34,8,12,-4,4,-14,10,14,6,26,10,10,118,-6,-4,2,8,0,82,52,44,38,48,28
8/9/1994,-2,0,-2,6,4,0,,,,,,,34,20,14,24,54,8,18,14,10,34,22,18
,,,,,,,,,,,,,,,,,,,,,,,,
