date,X0000,X0100,X0200,X0300,X0400,X0500,X0600,X0700,X0800,X0900,X1000,X1100,X1200,X1300,X1400,X1500,X1600,X1700,X1800,X1900,X2000,X2100,X2200,X2300
,,,,,,,,,,,,,,,,,,,,,,,,
18-Jun,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,-2
19-Jun,0,7,0,0,-4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20-Jun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21-Jun,1,0,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
22-Jun,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
23-Jun,0,0,0,0,5,7,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
24-Jun,8,3,0,2,2,0,-1,0,0,0,0,0,0,0,1,1,0,0,0,-2,0,1,3,0
25-Jun,2,36,0,0,3,-1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,2,0,9
26-Jun,1,1,23,11,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,6,2,59,12,35
27-Jun,140,9,1,28,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,8,13,15,60
28-Jun,100,17,21,23,-2,0,0,4,0,0,0,0,0,9,0,4,3,16,50,19,3,42,58,64
29-Jun,147,12,13,6,5,0,0,0,0,0,0,0,0,1,0,0,0,14,12,72,3,47,127,7
30-Jun,14,15,35,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,63
1-Jul,4,7,19,1,7,11,0,1,0,0,0,0,0,0,0,1,5,13,22,2,69,37,23,10
2-Jul,0,2,-1,0,0,0,0,-2,0,0,0,0,0,0,0,1,0,0,0,0,1,1,3,50
3-Jul,23,12,10,8,1,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,5,50,5,0,0
4-Jul,5,4,0,2,0,1,5,1,0,0,0,0,1,0,0,1,0,3,20,59,25,127,13,0
5-Jul,3,30,9,3,5,0,0,0,0,0,0,0,0,0,0,0,0,2,12,13,0,0,0,3
6-Jul,13,12,1,0,9,0,0,0,0,0,0,2,0,5,1,0,4,23,4,30,1,1,7,10
7-Jul,38,2,1,1,1,1,0,0,0,0,0,-2,-5,0,-2,1,1,0,0,0,1,0,10,1
8-Jul,3,2,0,0,0,0,0,0,0,0,0,0,-12,-2,0,0,0,0,0,0,0,0,0,15
9-Jul,12,7,-1,0,0,0,0,0,0,0,2,-5,-1,0,1,-3,-4,0,0,0,5,4,1,-1
10-Jul,0,3,-6,-2,5,-3,1,0,0,0,-2,-1,-3,0,-2,0,0,3,3,20,36,12,4,0
11-Jul,6,4,7,1,-1,0,0,1,1,1,-1,0,2,0,1,-3,-1,-1,0,3,0,-1,0,0
12-Jul,-4,-5,-3,-6,-7,-11,-2,0,2,2,-3,0,2,-1,-3,0,0,2,0,1,9,2,16,22
13-Jul,7,3,3,2,2,4,-1,0,2,0,0,0,1,0,0,1,6,17,11,93,40,49,33,42
14-Jul,12,8,10,0,8,5,3,2,0,0,-1,0,0,0,0,1,1,1,7,1,19,9,4,11
15-Jul,5,19,37,7,2,11,1,0,1,0,0,0,0,0,0,0,0,2,3,3,7,9,6,89
16-Jul,67,49,8,18,27,14,13,24,1,0,0,7,6,12,11,4,6,4,24,18,24,2,6,4
17-Jul,10,1,0,2,5,2,3,2,0,0,0,0,0,0,1,0,1,0,1,1,0,4,13,8
18-Jul,39,29,11,0,1,4,14,19,1,0,0,0,0,0,0,0,0,1,0,0,0,3,10,9
19-Jul,1,4,2,0,1,5,3,23,1,0,0,0,0,0,-2,1,1,3,10,1,0,0,1,2
20-Jul,12,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12,8,13
21-Jul,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15
22-Jul,2,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,2,2,10,0,0,0,12
