date,X0000,X0100,X0200,X0300,X0400,X0500,X0600,X0700,X0800,X0900,X1000,X1100,X1200,X1300,X1400,X1500,X1600,X1700,X1800,X1900,X2000,X2100,X2200,X2300
6/19/1986,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
6/20/1986,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
6/21/1986,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
6/22/1986,,,,,,,,,,,,,,,,,,,,,,,,
6/23/1986,3,-3,3,0,1,0,0,0,0,0,3,0,-5,0,0,6,2,5,7,6,2,6,15,13
6/24/1986,6,8,0,0,0,0,,,,,,,0,0,0,6,4,2,12,8,6,6,12,2
6/25/1986,6,14,14,6,0,2,,,,,,,2,0,-10,-6,-2,0,-2,-4,6,18,2,0
6/26/1986,4,-12,-4,0,0,0,,,,,,,4,0,2,-4,0,0,0,10,14,26,8,16
6/27/1986,8,-12,-12,0,2,-2,,,,,,,0,0,0,0,0,0,0,4,2,2,198,10
6/28/1986,56,82,62,2,6,6,,,,,,,10,2,0,0,14,4,-6,4,98,14,18,420
6/29/1986,,,,,,,,,,,,,,,,,,,,,,,,
6/30/1986,59,83,115,12,29,19,14,3,2,0,0,0,-10,6,6,0,1,2,85,55,32,28,51,439
7/1/1986,1560,640,242,178,22,34,,,,,,,2,0,4,2,4,6,6,6,16,3600,1000,200
7/2/1986,648,3040,1612,640,180,62,,,,,,,2,10,2,6,26,16,22,26,260,1240,2920,2190
7/3/1986,1512,2112,1872,620,858,884,,,,,,,10,10,4,4,20,196,96,1236,710,2360,1260,3180
7/4/1986,,,,,,,,,,,,,,,,,,,,,,,,
7/5/1986,766,3074,8020,5260,420,386,,,,,,,10,94,154,294,562,630,520,244,1196,466,318,300
7/6/1986,,1176,518,66,218,294,,,,,,,4,14,38,152,710,410,1852,300,3424,1554,3210,1638
7/7/1986,1000,348,233,45,97,215,294,136,53,27,11,61,58,63,748,720,610,557,1903,1861,228,19,247,497
7/8/1986,466,1324,264,14,38,266,,,,,,,-44,12,82,36,-200,196,2088,3350,1076,496,84,106
7/9/1986,194,94,-10,-18,-58,-46,,,,,,,8,0,-64,-8,-106,40,100,74,1148,372,334,360
7/10/1986,1530,104,22,-2,-32,4,,,,,,,-8,-28,0,34,14,8,14,8,42,14,176,104
7/11/1986,1332,2980,852,90,6,8,,,,,,,0,-2,4,2,106,400,186,4050,822,1400,3184,1030
7/12/1986,786,656,170,38,34,22,,,,,,,-2,-10,-288,-10,-336,-14,380,76,296,1484,308,20
7/13/1986,60,90,44,244,64,24,,,,,,,4,0,0,0,2,8,46,42,266,378,252,706
7/14/1986,,,,,,,,,,,,,,,,,,,,,,,,
7/15/1986,216,276,567,322,161,399,226,70,26,2,11,7,211,111,119,274,168,40,659,1862,5782,3950,2930,1762
7/16/1986,1542,628,26,52,122,172,,,,,,,668,532,418,442,1066,876,94,234,-64,190,1020,834
7/17/1986,862,270,128,76,8,78,,,,,,,20,18,-8,-2,104,62,84,150,650,418,1378,1000
7/18/1986,432,1222,1642,96,14,20,,,,,,,12,10,18,48,42,60,576,182,100,36,28,704
7/19/1986,1758,126,62,22,14,6,,,,,,,-76,-42,32,66,420,336,460,882,354,444,282,138
7/20/1986,,,,,,,,,,,,,,,,,,,,,,,,
7/21/1986,304,501,165,83,57,82,163,191,259,13,3,-3,5,8,40,96,95,192,95,335,320,74,152,413
7/22/1986,900,644,428,158,82,100,,,,,,,-4,8,36,82,68,1062,1972,1152,476,638,360,172
7/23/1986,208,120,122,22,24,32,,,,,,,42,8,28,46,120,78,500,720,872,596,336,200
7/24/1986,242,50,64,28,14,22,,,,,,,28,-14,36,34,72,118,178,116,256,616,508,702
7/25/1986,824,174,142,110,68,64,,,,,,,0,8,8,-12,-4,-4,4,30,76,82,158,130
7/26/1986,26,56,-2,18,8,40,,,,,,,0,-2,0,10,44,134,238,214,150,130,228,304
,,,,,,,,,,,,,,,,,,,,,,,,
