date,X0000,X0100,X0200,X0300,X0400,X0500,X0600,X0700,X0800,X0900,X1000,X1100,X1200,X1300,X1400,X1500,X1600,X1700,X1800,X1900,X2000,X2100,X2200,X2300
6/19/1988,0,0,2,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
6/20/1988,,,,,,,,,,,,,,,,,,,,,,,,
6/21/1988,17,2,8,4,0,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,2,0,0,16,9
6/22/1988,0,14,2,0,0,0,,,,,,,2,0,0,-2,-2,0,-14,0,0,0,0,0
6/23/1988,0,-6,-2,-2,-2,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
6/24/1988,0,10,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,2,10,2
6/25/1988,8,0,0,0,-2,0,,,,,,,0,0,0,0,0,0,0,0,8,0,2,0
6/26/1988,2,18,2,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,30,54,12
6/27/1988,,,,,,,,,,,,,,,,,,,,,,,,
6/28/1988,17,26,33,42,9,4,2,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,6,26
6/29/1988,56,18,24,12,20,8,,,,,,,0,0,0,0,0,0,0,0,0,0,24,2
6/30/1988,66,88,90,42,52,6,,,,,,,0,0,0,0,0,0,60,236,36,10,20,2220
7/1/1988,2360,354,292,42,20,1,,,,,,,0,0,0,0,0,16,0,4,8,2,270,432
7/2/1988,820,3080,1468,544,110,52,,,,,,,0,0,-2,0,2,0,0,0,2,12,1358,2278
7/3/1988,,,,,,,,,,,,,,,,,,,,,,,,
7/4/1988,4520,638,598,340,476,270,,,,,,,18,188,64,-4,112,20,232,2740,600,228,70,1528
7/5/1988,708,772,4,-55,-76,-33,-27,-22,-3,-2,0,2,0,-1,3,1,6,4,5,11,16,249,281,640
7/6/1988,2956,462,64,66,34,12,,,,,,,0,2,12,82,22,0,0,2,140,542,380,2828
7/7/1988,2440,270,62,60,26,18,,,,,,,44,4,68,4,6,70,128,0,160,4790,5360,768
7/8/1988,10,-8,-956,-86,-76,-26,,,,,,,-2,0,0,28,16,2320,386,68,340,384,92,160
7/9/1988,288,180,628,30,16,10,,,,,,,6,-42,36,144,14,4,0,0,1582,792,2724,204
7/10/1988,78,462,2090,76,4,-6,,,,,,,0,-72,4,0,0,0,26,364,424,1114,200,528
7/11/1988,,,,,,,,,,,,,,,,,,,,,,,,
7/12/1988,2468,2867,980,260,32,98,206,184,144,30,8,34,790,204,54,103,109,40,32,45,47,558,1563,2430
7/13/1988,1570,3180,678,268,294,528,,,,,,,-4,68,206,3370,2302,3360,2880,3910,1524,4688,640,1142
7/14/1988,370,1028,170,172,116,238,,,,,,,0,0,0,2,24,154,196,52,16,70,648,1208
7/15/1988,1466,276,722,342,166,332,,,,,,,480,18,854,68,58,-224,-4,66,88,512,1506,1118
7/16/1988,1340,1320,1052,342,362,486,,,,,,,-10,0,-22,0,172,14,38,158,96,1286,82,1642
7/17/1988,,,,,,,,,,,,,,,,,,,,,,,,
7/18/1988,12,30,36,10,4,2,,,,,,,-24,-4,-20,-2,2,0,-68,-6,-40,22,10,28
7/19/1988,224,-61,47,27,2,38,13,5,4,0,0,-1,-2,0,-4,0,1,20,18,11,10,78,137,103
7/20/1988,166,128,236,282,228,140,,,,,,,-2,-6,18,16,64,152,160,210,176,138,188,478
7/21/1988,356,684,422,320,530,248,,,,,,,4,0,10,12,72,100,118,48,38,66,6,408
7/22/1988,760,234,190,102,388,596,,,,,,,8,0,20,26,6,24,100,124,142,150,424,316
7/23/1988,354,502,478,440,542,594,,,,,,,44,78,-160,64,22,68,120,282,160,108,112,-22
7/24/1988,,,,,,,,,,,,,,,,,,,,,,,,
7/25/1988,490,348,328,56,90,148,,,,,,,22,12,88,172,86,308,332,170,114,122,402,116
7/26/1988,241,43,18,37,52,71,40,77,130,183,93,99,49,94,130,228,210,246,344,163,143,246,138,141
7/27/1988,34,60,58,56,64,48,,,,,,,0,20,46,26,52,32,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
