date,X0000,X0100,X0200,X0300,X0400,X0500,X0600,X0700,X0800,X0900,X1000,X1100,X1200,X1300,X1400,X1500,X1600,X1700,X1800,X1900,X2000,X2100,X2200,X2300
,,,,,,,,,,,,,,,,,,,,,,,,
6/17/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/18/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/19/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/20/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/21/2016,0,2,3,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,4
6/22/2016,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
6/23/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3
6/24/2016,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
6/25/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
6/26/2016,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,13,10
6/27/2016,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
6/28/2016,8,17,87,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,4,3
6/29/2016,37,6,7,12,7,4,-2,0,0,0,0,0,0,0,0,0,2,0,0,4,0,2,17,54
6/30/2016,192,135,89,2,2,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,6,18,145,323
7/1/2016,657,1043,279,19,20,8,4,0,0,0,0,0,0,0,0,0,10,40,48,6,55,1028,2060,973
7/2/2016,2230,1440,480,1030,1660,370,130,95,5,0,6,13,24,25,60,53,1520,570,1400,1790,220,260,760,228
7/3/2016,57,417,485,63,84,138,65,13,7,0,0,0,0,0,11,35,380,960,710,388,195,430,190,426
7/4/2016,560,2540,559,55,97,64,79,35,9,2,52,25,0,0,18,126,39,300,69,42,1534,728,2290,1430
7/5/2016,4040,540,848,2127,2225,135,764,137,35,207,30,39,0,0,0,16,34,-10,1360,316,1454,138,3540,295
7/6/2016,192,1483,51,6,-7,-4,-3,-6,0,0,0,0,0,-8,0,0,10,0,14,8,149,19,1225,525
7/7/2016,207,857,129,26,868,88,267,477,75,6,0,0,0,0,0,0,2,-9,32,2100,1130,1540,5550,2540
7/8/2016,2320,930,56,34,99,648,246,1317,774,12,0,0,115,12,0,7,32,2920,1370,255,2275,700,129,260
7/9/2016,274,159,321,625,55,249,282,265,50,10,-15,373,0,0,0,12,-5,-25,445,1676,334,-3,51,19
7/10/2016,-28,36,-72,53,4,-55,-175,-238,-42,-4,-3,0,0,-50,0,-8,0,0,37,267,3560,1044,3505,3430
7/11/2016,13790,8050,4020,1180,349,4170,1490,6410,455,0,0,0,0,23,94,126,54,155,131,199,392,608,1080,4020
7/12/2016,5460,12080,2950,783,109,3890,3010,1784,340,1308,378,1283,2783,904,1461,2743,6560,2540,2390,3830,4910,13760,4050,13930
