date,X0000,X0100,X0200,X0300,X0400,X0500,X0600,X0700,X0800,X0900,X1000,X1100,X1200,X1300,X1400,X1500,X1600,X1700,X1800,X1900,X2000,X2100,X2200,X2300
,,,,,,,,,,,,,,,,,,,,,,,,
6/17/2002,,,,,,,,,,,,,,,,,,,,,6,3,24,93
6/18/2002,39,69,12,9,0,0,,,,,,,0,0,9,0,0,0,0,15,54,12,6,297
6/19/2002,993,15,0,9,0,0,,,,,,,0,0,3,0,0,0,0,0,6,0,15,123
6/20/2002,750,9,3,27,0,0,,,,,,,0,0,0,0,0,0,0,0,0,9,45,3
6/21/2002,42,441,18,21,9,-6,,,,,,,0,0,0,3,0,3,0,0,0,-3,402,480
6/22/2002,282,3,201,0,24,3,-24,0,0,0,0,0,0,3,0,0,0,0,0,0,0,111,2085,2943
6/23/2002,2622,2139,87,0,3,39,117,-42,-3,-9,-48,0,0,0,3,0,0,15,0,3,6,3,846,-108
6/24/2002,-300,-309,-330,-309,-228,-195,-201,-36,-24,0,0,0,0,0,0,0,0,0,3,0,0,0,171,414
6/25/2002,393,1026,111,54,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,48,30,1767
6/26/2002,240,15,27,0,0,0,0,0,0,0,0,0,0,0,0,-12,3,0,0,15,3,0,36,2562
6/27/2002,4140,7860,1974,30,126,1539,177,72,3,3,0,0,0,6,3,-6,9,33,21,96,3456,390,624,4719
6/28/2002,6048,8010,951,30,3,3,24,972,9042,909,1650,-18,-51,-36,117,3,6,57,63,27,162,27,558,576
6/29/2002,4680,5688,6180,267,258,72,-123,150,-12,0,-18,0,-33,-3,-6,12,57,18,15,51,696,3390,6540,7500
6/30/2002,1323,612,-81,-132,-357,1845,114,-69,6,0,3,0,0,0,0,-3,-3,12,12,-804,9,45,366,2820
7/1/2002,14034,4230,204,-57,-60,-21,-6,0,0,0,0,0,0,6,0,9,96,72,33,111,-255,111,132,2070
7/2/2002,1785,570,216,-15,-45,69,18,1143,201,45,219,-6,4680,11115,3009,3,1365,9,573,-57,-213,-36,33,3
7/3/2002,-4566,-4227,-4020,-726,-336,-2820,-1536,-1665,-2163,-912,-225,-9,12,60,0,9,12,42,0,123,2220,345,957,12603
7/4/2002,1743,-375,180,-615,-1644,2067,360,4035,6171,111,-84,-312,-516,-87,-39,-51,12,36,168,0,288,8175,4062,165
7/5/2002,198,2055,-12,-96,-96,-3,5655,-252,-105,-6,-39,3,78,96,234,108,4341,8790,-12,3921,4398,14910,8520,13737
7/6/2002,15780,17691,393,204,57,357,5880,108,66,3,-117,999,489,309,4257,1743,2961,2040,2067,4458,7980,6240,26280,33180
7/7/2002,16590,132,141,87,-3606,2340,1656,-3618,546,183,123,12,0,327,330,3540,7728,1020,7500,4041,15060,5610,318,5079
