date,X0000,X0001,X0002,X0003,X0004,X0005,X0006,X0007,X0008,X0009,X0010,X0011,X0012,X0013,X0014,X0015,X0016,X0017,X0018,X0019,X0020,X0021,X0022,X0023
,,,,,,,,,,,,,,,,,,,,,,,,
6/23/2008,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0
6/24/2008,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,-12,-3,0,0,-6,-9,0,-24,3
6/25/2008,0,0,0,0,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,9
6/26/2008,69,12,0,3,0,0,0,0,0,-3,0,0,0,0,0,0,6,0,0,0,33,24,18,45
6/27/2008,9,123,294,51,36,-9,-3,0,0,3,0,0,0,0,9,0,3,0,3,3,6,3,15,33
6/28/2008,528,996,5595,255,-63,0,18,6,-30,-9,0,9,15,0,0,12,0,0,0,9,192,210,675,13272
6/29/2008,12090,9702,3039,543,327,42,-117,-180,-165,-75,-15,-12,0,3,6,-6,6,27,165,1467,2652,6273,849,7872
6/30/2008,4668,12300,4809,516,126,381,-357,-129,-51,-93,-24,3,15,3,6,12,12,0,3,15,18,243,4701,1245
7/1/2008,13860,390,417,114,132,204,138,-165,-876,-192,-24,-6,9,-3,21,6,9,48,14700,771,6780,3450,5130,1350
7/2/2008,1086,7224,2076,108,186,60,9,-27,-60,-330,-162,-267,-27,621,132,63,78,657,960,4110,1059,162,120,819
7/3/2008,16410,7410,2091,225,60,216,321,-84,-141,0,-6,0,12,33,12,27,60,3420,7500,1530,4080,4980,16290,19680
7/4/2008,10650,10680,20130,4155,4116,3756,18600,1956,11550,2310,2160,330,24,-33,-3,-15,156,435,4530,4290,5520,28080,11520,66720
7/5/2008,12771,10863,2967,186,72,2424,915,420,96,36,48,15,-6,3,105,321,1512,11850,18360,7680,3960,4860,4290,8010
7/6/2008,19500,13680,13122,11622,6768,7902,8991,3678,996,147,39,9,12,24,171,264,273,1530,3636,9750,9570,22320,23010,14550
7/7/2008,15090,17580,18360,10536,5700,3189,6309,2787,1206,54,-27,-84,-18,231,363,1809,3930,621,495,456,7380,10440,8670,4500
7/8/2008,9060,12531,3384,9573,5040,1743,498,108,-207,-153,-132,-63,0,21,66,45,249,6,528,8220,11460,11490,13110,34020
7/9/2008,19395,9201,3075,360,24,24,-6,-3,-645,-1479,-2220,-3060,-5490,-3162,-3810,-5910,-2160,-3930,-4980,-3900,-4680,-2910,-336,-1029
7/10/2008,621,-798,-2175,-108,-6,-141,-387,-408,-111,-231,-1848,-4470,-4200,-1830,-267,-81,-18,-54,18,78,1140,249,2220,2826
7/11/2008,3099,4128,1398,762,-1926,-888,-192,-144,-102,-27,462,-186,21,-252,-372,-303,-441,828,927,360,-468,-138,-312,-858
7/12/2008,-1992,-3300,-1140,-432,-1281,-2100,-612,-1164,-1272,-1431,-1116,-567,-342,-300,126,507,5892,2556,2613,2844,1080,2751,2778,3198
7/13/2008,222,15,-360,-66,-57,-156,-330,-171,,,,,,,,,1356,1503,1356,432,438,486,696,726
7/14/2008,1134,81,-36,18,84,621,-156,-165,-87,-48,27,24,165,-177,717,603,159,648,1830,2535,1830,2880,1557,1140
7/15/2008,-36,-507,-375,-123,-60,-126,-150,-69,-36,-36,-48,-21,-24,-93,0,129,114,1785,3099,3567,3279,4644,939,2289
7/16/2008,3642,705,117,-12,15,186,180,189,1599,2010,372,735,69,183,201,1584,3276,2595,1824,2091,1350,801,1164,513
7/17/2008,621,57,3,9,15,6,-18,-15,57,-9,12,6,129,426,534,225,963,3834,3342,2340,1773,1818,1251,294
7/18/2008,966,36,9,-18,63,18,246,183,54,150,84,18,3,-12,3,36,21,6,108,1116,3510,873,2343,7653
7/19/2008,4323,4428,4500,1710,495,2040,3381,2328,4362,1758,303,12,2373,1350,1779,6315,24750,7293,9984,13140,18252,17400,20001,666
7/20/2008,5649,5778,3060,-45,-90,-363,-285,-171,486,384,-1107,-1227,-1173,-1470,-2313,-1968,-912,-957,-1452,-1002,-1017,-795,-1596,-1440
7/21/2008,-7362,-4242,-3138,-996,-1425,-1794,-4551,-4278,4872,93,-663,-690,-603,-156,-51,-69,-102,0,33,12,108,-375,333,300
7/22/2008,63,-27,-63,-189,-96,-162,-156,-87,-63,-21,-12,18,60,48,90,51,33,135,534,1503,5964,3501,2925,3555
7/23/2008,5100,3651,2034,45,57,3,903,855,5163,3405,1347,1203,1095,420,174,72,153,195,321,252,2526,3633,2298,5472
7/24/2008,1875,1608,54,12,27,54,1014,279,3564,834,84,81,15,18,78,66,156,150,279,369,8061,13650,15648,5802
7/25/2008,3108,3780,978,81,9,261,654,14100,10611,7824,5016,4416,3744,8925,7473,4239,1731,1776,90,-36,54,30,-81,48
7/26/2008,1506,186,-141,-45,-36,-45,27,225,315,714,468,123,393,570,366,81,78,1191,1092,2076,150,2625,606,150
7/27/2008,555,354,144,33,27,21,-21,0,-9,-78,-39,3,-54,45,12,57,120,336,444,753,501,1215,2346,3081
7/28/2008,3054,966,573,210,54,18,39,42,2514,783,312,33,6,15,417,675,951,1335,762,708,1635,1263,1017,525
7/29/2008,174,114,54,9,21,15,27,7740,2940,3870,402,456,-159,114,408,-279,-198,-237,-513,-294,-273,-516,-651,-540
7/30/2008,-387,-138,-93,-33,-15,-51,-48,-3,0,75,81,-18,-45,-3,21,36,3,135,1038,414,438,210,141,123
7/31/2008,-39,-108,-39,-9,12,18,9,15,42,27,12,6,18,3,3,33,117,144,42,621,249,111,243,171
8/1/2008,129,99,42,78,108,57,21,24,78,42,-6,6,42,3,0,9,33,12,-9,6,3,24,60,114
8/2/2008,66,36,54,15,18,27,51,294,102,39,-9,15,24,102,12,12,117,57,264,108,444,333,1866,726
8/3/2008,1074,696,162,108,99,48,159,891,195,21,18,18,15,9,9,51,90,138,126,279,261,246,189,477
8/4/2008,108,27,36,42,36,18,36,111,60,21,21,6,0,51,30,39,105,258,270,255,66,195,177,249
8/5/2008,159,342,75,75,12,36,72,363,66,9,12,0,9,0,15,15,54,126,120,153,108,363,291,234
8/6/2008,192,168,129,150,90,54,33,102,132,60,60,51,27,63,96,36,81,102,21,96,114,123,255,414
8/7/2008,189,222,93,51,33,36,132,252,399,90,60,12,6,24,6,9,30,36,33,54,60,54,69,147
8/8/2008,231,159,150,93,72,9,60,276,117,57,12,0,3,12,9,12,24,12,18,42,84,48,78,270
