date,X0000,X0100,X0200,X0300,X0400,X0500,X0600,X0700,X0800,X0900,X1000,X1100,X1200,X1300,X1400,X1500,X1600,X1700,X1800,X1900,X2000,X2100,X2200,X2300
6/25/2020,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/26/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/27/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/28/2020,27,18,0,18,0,21,9,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
6/29/2020,15,33,3,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
6/30/2020,36,6,3,24,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/1/2020,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
7/2/2020,0,0,0,0,0,0,0,0,6,0,12,0,15,0,3,0,6,0,6,12,0,0,0,0
7/3/2020,0,3,0,0,0,0,0,0,3,0,0,3,0,0,0,3,21,6,6,0,6,0,0,0
7/4/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,597,447
7/5/2020,204,1956,45,42,45,30,24,0,0,0,0,0,0,0,0,12,39,159,798,3729,5352,5526,5439,7194
7/6/2020,4188,2880,4182,93,60,426,1347,378,51,54,60,36,12,0,0,30,6,72,399,930,4743,6249,8586,6990
7/7/2020,879,8280,3954,540,285,705,411,207,30,60,0,0,0,0,0,-300,-150,-450,-300,-450,-450,-300,21,12
7/8/2020,312,117,75,105,66,111,0,21,-75,0,-60,0,0,0,0,0,0,6,6,12,102,72,846,294
7/9/2020,102,1113,315,60,63,39,186,39,0,0,0,0,30,0,90,0,6,57,276,609,1707,11577,13452,12855
7/10/2020,12726,7263,2334,555,2841,5823,8205,1098,0,30,0,30,30,45,45,120,81,225,1005,12255,12210,14292,10467,12633
7/11/2020,12036,13536,10074,6405,2166,3522,3144,7308,9840,5850,810,90,120,630,2940,10245,12588,8937,9513,13992,9741,12780,12978,13035
7/12/2020,5229,2052,462,525,498,2178,5679,2970,870,195,1110,990,540,660,4650,13740,6897,9321,2091,11040,11931,12948,11406,12861
7/13/2020,10770,8922,3468,381,108,300,1860,693,-735,-405,-285,-60,-45,9,216,672,678,960,3045,3978,1461,2910,10593,14652
7/14/2020,13683,12753,10182,1152,132,1071,1023,2073,891,10035,1410,135,231,6660,9876,363,11874,14892,12690,9303,13851,13443,10893,4473
7/15/2020,366,249,42,27,15,45,207,222,-762,-1437,-1239,-1374,-1203,-771,-525,-333,11772,13089,12894,10086,7932,12978,6306,747
7/16/2020,924,192,30,48,60,120,66,42,-57,-72,-63,21,12,-87,96,333,1233,2046,621,891,4185,7125,2913,552
7/17/2020,129,33,369,15,0,96,231,249,21,0,0,9,0,0,36,273,3093,12039,14550,14190,11841,10761,7491,837
7/18/2020,1545,1101,111,36,27,162,2865,2310,3222,6,0,0,42,24,1068,11847,12771,12516,13095,10215,2610,1548,4656,11049
7/19/2020,13185,11274,711,39,36,747,6396,14433,11763,354,0,0,0,2802,10923,10281,12303,13404,11538,11097,72,36,171,15
7/20/2020,-1119,-1278,-1245,-894,-474,-282,-93,75,-324,-261,-300,-174,-135,-132,-102,0,39,1365,6426,8466,435,1779,522,2748
7/21/2020,564,153,183,69,-9,132,168,126,-171,-21,-243,-237,-342,-351,-162,-69,3900,10023,1842,1773,7773,2487,282,105
7/22/2020,798,126,-54,75,36,147,1239,756,273,45,0,0,0,0,33,15,36,795,1125,1506,699,1041,3045,3102
7/23/2020,7068,12933,465,81,153,660,6276,8085,10062,3750,366,13848,72,-411,-468,-378,-105,12030,12975,9,-525,-45,-525,-960
7/24/2020,-1311,-2766,-1203,-495,-348,-360,-1140,-1026,-501,-573,-456,-594,-864,-369,-231,-483,-105,21,936,396,480,2886,294,39
7/25/2020,-318,-411,-306,-252,-372,-258,-348,330,-99,99,39,9,99,36,84,75,150,1011,396,1104,789,711,1365,1902
7/26/2020,2937,312,90,39,36,126,342,429,306,84,309,54,63,123,312,483,633,5397,5793,2928,8676,10746,11613,11478
7/27/2020,6939,1824,390,99,18,264,939,4989,9561,4281,63,24,0,69,2598,0,99,7869,13470,819,0,0,0,0
7/28/2020,861,-1779,-270,-87,-48,-63,-117,5460,3093,-201,-108,-270,-87,-66,621,75,0,0,0,0,0,0,15,-375
7/29/2020,-1158,-1275,-4248,-276,-66,-126,-174,2343,204,21,0,0,0,51,636,708,912,1719,1377,2643,1617,525,588,633
7/30/2020,672,684,426,531,180,48,1905,5337,1917,996,315,198,303,612,1455,3174,1272,1875,1500,4038,3294,1713,1077,5064
