date,X0000,X0100,X0200,X0300,X0400,X0500,X0600,X0700,X0800,X0900,X1000,X1100,X1200,X1300,X1400,X1500,X1600,X1700,X1800,X1900,X2000,X2100,X2200,X2300
6/21/1990,,,,,,,,,,,,,0,0,0,0,0,0,2,0,0,0,0,8
6/22/1990,2,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
6/23/1990,0,2,0,-2,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
6/24/1990,,,,,,,,,,,,,,,,,,,,,,,,
6/25/1990,3,2,6,4,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,3,6,9
6/26/1990,4,16,16,4,4,0,,,,,,,2,-4,-4,2,0,4,2,4,4,-6,0,2
6/27/1990,2,-2,4,0,2,0,,,,,,,0,0,2,0,-2,0,0,2,4,4,0,6
6/28/1990,44,-4,0,2,4,2,,,,,,,0,-2,0,-4,2,0,0,0,0,0,8,0
6/29/1990,-2,0,2,-2,0,-2,,,,,,,4,0,0,0,0,0,0,0,2,12,16,234
6/30/1990,98,10,106,144,16,12,,,,,,,0,0,0,8,24,0,4,2,236,430,256,1410
7/1/1990,,,,,,,,,,,,,,,,,,,,,,,,
7/2/1990,1803,1638,1565,827,523,727,346,-40,19,17,12,41,35,209,528,384,1267,2128,1824,859,1345,1178,1141,3473
7/3/1990,2566,2018,1582,536,268,40,,,,,,,52,136,56,404,1242,2760,308,852,812,742,3468,4086
7/4/1990,1634,1508,990,248,1472,1932,,,,,,,48,138,1352,2172,1830,4776,494,3362,7316,2988,4108,1930
7/5/1990,806,5126,2868,1522,1132,418,,,,,,,-478,24,842,2640,7182,6336,2590,832,256,364,256,1516
7/6/1990,1808,168,6,-2,24,340,,,,,,,-10,-50,54,-234,1834,104,4844,812,2022,4046,5328,2436
7/7/1990,2686,1188,1122,1444,890,1160,,,,,,,-48,72,-194,-1170,2034,1158,1330,-22,6444,6002,2904,4220
7/8/1990,,,,,,,,,,,,,,,,,,,,,,,,
7/9/1990,16,212,501,169,46,63,13,0,15,0,-3,1,5,1,2,15,17,194,2402,2384,524,1401,1315,1027
7/10/1990,1444,102,22,18,36,18,,,,,,,0,2,4,-10,-6,32,48,22,4940,516,174,154
7/11/1990,768,154,1624,572,880,12,,,,,,,-2,-126,-160,16,-14,26,-22,3406,108,1090,2994,5214
7/12/1990,1714,38,44,30,0,8,,,,,,,-4,-12,2,-38,-56,-8,92,70,4906,1538,204,1046
7/13/1990,56,12,18,0,-2,0,,,,,,,-48,-66,-58,-36,-620,-96,-54,8,-86,118,320,104
7/14/1990,534,280,182,-18,2,-6,,,,,,,-16,-2,2,14,8,26,22,82,66,12,44,16
7/15/1990,,,,,,,,,,,,,,,,,,,,,,,,
7/16/1990,2811,1007,370,192,85,100,398,463,695,765,27,22,18,2,79,-84,44,132,465,2052,5296,1324,141,78
7/17/1990,92,284,156,30,32,2,,,,,,,2,30,64,22,34,44,164,160,1828,486,3070,4630
7/18/1990,1244,552,152,74,18,48,,,,,,,46,4,142,340,894,192,48,1792,6390,4998,2536,816
7/19/1990,1730,348,332,42,20,0,,,,,,,-228,-168,2446,2162,4564,5126,100,310,60,94,76,56
7/20/1990,294,138,16,-226,-18,46,,,,,,,-18,206,522,1454,1246,836,716,1056,822,928,2586,2958
7/21/1990,2254,278,140,18,12,108,,,,,,,-14,4,26,10,64,142,264,588,690,1162,750,1500
7/22/1990,,,,,,,,,,,,,,,,,,,,,,,,
7/23/1990,329,90,49,13,124,458,351,162,38,22,33,20,44,78,80,380,1775,4600,6125,3265,1021,87,460,289
7/24/1990,370,182,50,60,12,64,,,,,,,40,60,72,366,2364,8976,1150,620,436,418,462,294
7/25/1990,548,658,138,34,46,522,,,,,,,82,310,230,154,158,370,1516,934,472,312,170,470
,,,,,,,,,,,,,,,,,,,,,,,,
