date,X0000,X0100,X0200,X0300,X0400,X0500,X0600,X0700,X0800,X0900,X1000,X1100,X1200,X1300,X1400,X1500,X1600,X1700,X1800,X1900,X2000,X2100,X2200,X2300
6/20/1996,,,,,,,,,,,,,0,0,0,0,0,0,0,0,-4,4,0,0
6/21/1996,0,10,20,6,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,2,4
6/22/1996,22,50,0,8,6,0,,,,,,,0,0,0,0,0,0,4,0,0,16,0,4
6/23/1996,,,,,,,,,,,,,,,,,,,,,,,,
6/24/1996,82,154,70,60,20,6,,,,,,,0,0,0,0,2,2,0,2,2,16,14,30
6/25/1996,26,2,10,8,6,4,0,2,0,2,8,2,0,0,2,2,2,2,4,8,12,26,10,16
6/26/1996,24,4,-14,-8,-18,-2,,,,,,,2,10,0,0,0,0,10,26,6,2,70,40
6/27/1996,16,50,34,-2,20,2,,,,,,,0,0,0,0,0,0,4,8,-2,6,46,136
6/28/1996,4,42,40,18,16,28,,,,,,,0,0,0,2,0,0,0,8,0,44,46,142
6/29/1996,134,766,148,58,16,8,,,,,,,0,2,16,62,116,50,86,342,106,80,748,276
6/30/1996,880,20,22,58,16,30,,,,,,,0,0,4,14,76,122,78,498,514,2466,1484,4556
7/1/1996,,,,,,,,,,,,,,,,,,,,,,,,
7/2/1996,4990,2260,1664,2718,84,130,44,44,14,-42,-36,-108,-120,-144,-242,-62,-32,-46,42,-54,-506,-132,-122,-184
7/3/1996,-64,-222,-348,-188,32,46,,,,,,,2,0,2,2,2,34,156,312,462,412,1092,1056
7/4/1996,470,318,2106,296,234,110,,,,,,,2,2,0,0,24,0,72,86,224,268,6624,8158
7/5/1996,10180,16020,3032,884,512,536,,,,,,,8,4,28,14,10,24,62,420,436,788,1700,3000
7/6/1996,3240,2766,3018,1464,890,606,,,,,,,102,924,208,48,72,22,90,11346,11490,8556,12672,9372
7/7/1996,7832,16328,5184,2520,1952,2994,,,,,,,924,1870,2820,1826,582,384,242,910,8710,13080,10508,9586
7/8/1996,,,,,,,,,,,,,,,,,,,,,,,,
7/9/1996,8940,13296,8372,4514,3548,3520,1180,314,18,8,-2,2,206,5052,34260,7434,1740,884,314,316,96,274,4480,490
7/10/1996,298,864,292,28,96,248,,,,,,,86,154,364,676,892,848,2408,3980,12240,4640,5160,8520
7/11/1996,8302,6324,4692,178,210,380,,,,,,,88,2670,22640,2848,2002,1860,1382,894,6850,4582,1444,712
7/12/1996,622,664,2398,20,22,84,,,,,,,-304,1112,5686,2052,8838,6206,7528,1760,476,354,730,5296
7/13/1996,6292,6630,1172,12,34,138,,,,,,,-112,-4,-6,44,262,402,4534,2056,2138,1774,5638,17100
7/14/1996,9284,5802,1218,26,16,264,,,,,,,-10,8,92,178,2334,6024,12280,6758,6148,10102,4220,558
7/15/1996,,,,,,,,,,,,,,,,,,,,,,,,
7/16/1996,3718,1462,-116,-124,-420,-370,-524,-330,-214,-30,-44,6,-20,0,28,-2,64,22,186,170,364,406,292,320
7/17/1996,250,572,62,18,24,376,,,,,,,84,40,66,928,5106,3850,4812,5782,1666,244,146,684
7/18/1996,1204,732,84,-6,18,88,,,,,,,82,22,12,16,92,2334,602,1126,306,290,264,302
7/19/1996,452,248,612,92,134,618,,,,,,,46,58,46,66,92,460,5070,4066,6624,1936,5888,5002
7/20/1996,6758,8058,10920,1470,1020,1846,,,,,,,314,270,264,1780,3308,1302,1350,1418,6402,1756,1146,1126
7/21/1996,776,216,18,14,88,1608,,,,,,,62,188,80,254,288,482,530,1596,10512,3934,810,622
7/22/1996,,,,,,,,,,,,,,,,,,,,,,,,
7/23/1996,1294,118,28,44,54,304,1032,76,282,2,-4,-44,-14,-54,-8,3712,1070,1422,6574,2522,1646,3772,436,252
7/24/1996,144,146,48,30,28,36,,,,,,,24,2,8,-12,30,78,80,62,40,286,422,190
7/25/1996,884,84,42,18,10,18,,,,,,,-44,-6,44,2,-4,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
